;; -*- coding: utf-8 -*--
an-niu-cai-dan 按钮菜单
ao-tu-tie-tu 凹凸贴图
ban-tou-ming-du 半透明度
bei-sai-er-qu-xian 贝塞尔曲线
bi-li-tu-shi 比例图示
bian-xiu-gai-qi 边修改器
biao-gao 标高
biao-ge-da-duan 表格打断
biao-ge-yang-shi 表格样式
biao-ji 标记
biao-ji-ji 标记集
biao-qian-kuai 标签块
biao-zhu-bian-liang 标注变量
biao-zhu-kuai 标注块
biao-zhu-wen-zi 标注文字
biao-zhu-yang-shi 标注样式
bie-ming 别名
bu-fen-zi-ding-yi-wen-jian 部分自定义文件
bu-ju 布局
bu-ju-shi-kou 布局视口
bu-tou-ming-tie-tu 不透明贴图
bu-zhuo-fen-bian-lv 捕捉分辨率
bu-zhuo-jiao-du 捕捉角度
bu-zhuo-mo-shi 捕捉模式
bu-zhuo-shan-ge 捕捉栅格
cai-dan-liu-lan-qi 菜单浏览器
cai-yang 采样
can-kao-di-tu 参考底图
can-shu 参数
can-shu-ji 参数集
can-zhao 参照
cha-jian 插件
cha-xun-biao 查寻表
cha-xun-te-xing 查寻特性
cha-zhi-dian 插值点
chang-gui-te-xing 常规特性
chi-cun-xian-yuan-hu 尺寸线圆弧
chi-zhu-guang 呎烛光
chong-hua 重画
chu-shi-huan-jing 初始环境
chuang-jiao-xuan-ze 窗交选择
chuang-kou 窗口
chuang-kou-xuan-ze 窗口选择
chui-zhi-gong-neng-qu 垂直功能区
cu-cao-du 粗糙度
cun-hui 存回
da-kong-zhi-pan 大控制盘
da-yin-yang-shi 打印样式
da-yin-yang-shi-biao 打印样式表
dai-li-dui-xiang 代理对象
dan-ge-kong-zhi-pan 单个控制盘
dan-yuan 单元
dan-yuan-bian-jie 单元边界
dan-yuan-yang-shi 单元样式
dang-qian-tu-xing 当前图形
dao-xiang-qu-xian 导向曲线
deng-ju 灯具
deng-zhou-ce-bu-zhuo-yang-shi 等轴测捕捉样式
di-li-biao-gao 地理标高
di-li-biao-ji 地理标记
di-mian-xia 地面下
di-ping-mian 地平面
dian-biao-ji 点标记
dian-guo-lv-qi 点过滤器
dian-zi-tu-xing-ji 电子图形集
ding-dian 顶点
ding-yi-biao 定义表
ding-yi-dian 定义点
dong-jie 冻结
dong-zuo 动作
dong-zuo-hong 动作宏
dong-zuo-hong-wen-jian 动作宏文件
dong-zuo-shu 动作树
dou-dong 抖动
dui-qi-biao-zhu 对齐标注
dui-xiang 对象
dui-xiang-bu-zhuo-mo-shi 对象捕捉模式
dui-xiang-bu-zhuo-ti-dai 对象捕捉替代
duo-bian-xing-chuang-kou-xuan-ze 多边形窗口选择
duo-chong-yin-xian 多重引线
duo-duan-ti 多段体
duo-duan-xian 多段线
duo-ye 多页
fa-xian 法线
fan-she-du 反射度
fan-she-se 反射色
fan-she-tie-tu 反射贴图
fan-wei 范围
fan-xiang-cha-xun 反向查寻
fan-zou-yang 反走样
fang-she-jiao-zhun 仿射校准
fang-yang-qu-mian 放样曲面
fang-yang-shi-ti 放样实体
fei-guan-lian-biao-zhu 非关联标注
fen-jie 分解
fen-jie-de-biao-zhu 分解的标注
fu-dong-mian-ban 浮动面板
fu-dong-shi-kou 浮动视口
fu-hao 符号
fu-hao-biao 符号表
fu-hao-ku 符号库
fu-he-shi-ti 复合实体
fu-zhu-biao-ge-sui-pian 辅助表格碎片
ge-xing-hua 个性化
gong-ju 工具
gong-ju-lan 工具栏
gong-ju-ti-shi 工具提示
gong-ju-xiao-xi 工具消息
gong-neng-qu 功能区
gong-neng-qu-mian-ban 功能区面板
gong-neng-qu-xuan-xiang-ka 功能区选项卡
gong-zuo-ji 工作集
gong-zuo-kong-jian 工作空间
gong-zuo-ping-mian 工作平面
gong-zuo-tu-xing 工作图形
gou-zao-ping-mian 构造平面
gu-dao 孤岛
gu-shi-zhuo-se 古氏着色
guan-jian-dian 关键点
guan-lian-biao-zhu 关联标注
guan-lian-tian-chong 关联填充
guang-biao 光标
guang-biao-cai-dan 光标菜单
guang-du-kong-zhi-guang-yuan 光度控制光源
guang-tong-liang 光通量
guang-xian-gen-zong 光线跟踪
guang-xian-gen-zong-yin-ying 光线跟踪阴影
guang-xian-lun-kuo 光线轮廓
guang-zi-tie-tu 光子贴图
guo-cheng-hua-cai-zhi 过程化材质
guo-lv-qi 过滤器
he-bing 合并
heng-jie-mian 横截面
hou-du 厚度
hou-xiang-mian 后向面
hua-chu-mian-ban 滑出面板
huan-deng-ku 幻灯库
huan-deng-wen-jian 幻灯文件
huan-jing-bian-liang 环境变量
huan-jing-guang 环境光
huan-jing-se 环境色
huan-jing-tie-tu 环境贴图
huan-xing-zhen-lie 环形阵列
hui-fang 回放
hui-fang-qian-de-tu-xing-huan-jing 回放前的图形环境
hui-tu-qu-yu 绘图区域
huo-qu-biao-ji 获取标记
huo-qu-de-dian 获取的点
ji-ben-gong-ju-ti-shi 基本工具提示
ji-ben-kong-zhi-pan 基本控制盘
ji-dian 基点
ji-he-tu-xing 几何图形
ji-huo 激活
ji-xian 基线
ji-xian-biao-zhu 基线标注
ji-xian-jian-xi 基线间隙
ji-zhou-zhui-zong 极轴追踪
jia-dian 夹点
jia-dian-gong-ju 夹点工具
jia-dian-mo-shi 夹点模式
jian-cai-ping-mian 剪裁平面
jian-jie-ao-tu-du 间接凹凸度
jian-jie-fa-guang 间接发光
jian-tou 箭头
jiao-ben-wen-jian 脚本文件
jiao-du-biao-zhu 角度标注
jiao-du-dan-wei 角度单位
jiao-ju 焦距
jie-dian 节点
jie-dong 解冻
jie-mian-yuan-su 界面元素
jie-xian 界限
jin-si-dian 近似点
jing-mian-fan-she 镜面反射
jing-xiang 镜像
ju-bing 句柄
ju-xing-da-duan 矩形打断
jue-dui-zuo-biao 绝对坐标
ke-gu-ding-chuang-kou 可固定窗口
ke-jian-xing-mo-shi 可见性模式
ke-jian-xing-zhuang-tai 可见性状态
kong-jian-suo-yin 空间索引
