;; -*- coding: utf-8 -*--
a-ba-zhou-lin-ye-zhong-xin-yi-yuan 阿坝州林业中心医院
a-ba-zhou-ren-min-yi-yuan 阿坝州人民医院
a-bo-luo-nan-zi-yi-yuan 阿波罗男子医院
a-cheng-jin-jing-yi-yuan 阿城金京医院
a-cheng-qu-she-li-xiang-wei-sheng-yuan 阿城区舍利乡卫生院
a-cheng-qu-zhong-yi-yuan 阿城区中医院
a-di-ya-yan-ke-yi-yuan 阿迪娅眼科医院
a-ke-sai-xian-ren-min-yi-yuan 阿克塞县人民医院
a-ke-su-di-qu-di-er-ren-min-yi-yuan 阿克苏地区第二人民医院
a-ke-su-di-qu-di-yi-yi-yuan 阿克苏地区第一医院
a-ke-su-di-qu-fu-you-bao-jian-yuan 阿克苏地区妇幼保健院
a-ke-su-shi-ren-min-yi-yuan 阿克苏市人民医院
a-ke-su-shi-zhong-yi-yi-yuan 阿克苏市中医医院
a-ke-tao-xian-ren-min-yi-yuan 阿克陶县人民医院
a-la-er-yi-yuan 阿拉尔医院
a-la-shan-zhong-xin-yi-yuan 阿拉善中心医院
a-lan-yi-yuan 阿蓝医院
a-le-tai-di-qu-ren-min-yi-yuan 阿勒泰地区人民医院
a-le-tai-xie-he-yi-yuan 阿勒泰协和医院
a-qi-yi-yuan 阿旗医院
a-rong-qi-ren-min-yi-yuan 阿荣旗人民医院
a-wa-ti-xian-ren-min-yi-yuan 阿瓦提县人民医院
a-yu-fei-tuo-fan-yi-guan 阿育吠陀梵医馆
ai-chi-er-kou-qiang 爱齿尔口腔
ai-chi-kou-qiang 爱齿口腔
ai-chi-kou-qiang-zhen-suo 爱齿口腔诊所
ai-de-hua-yi-yuan 爱德华医院
ai-de-mei-kou-qiang 艾得美口腔
ai-de-ya-ke 爱德牙科
ai-de-yi-yuan 爱德医院
ai-er-chi-ke 爱尔齿科
ai-er-yan-ke-yi-yuan 爱尔眼科医院
ai-ge-yan-ke-yi-yuan 艾格眼科医院
ai-guo-yi-yuan 爱国医院
ai-kang-jian-lian-suo-chi-ke 爱康健连锁齿科
ai-kang-yi-yuan 爱康医院
ai-kang-zhen-suo 爱康诊所
ai-ke-yi-yuan 艾克医院
ai-ke-zhong-yi-yuan 艾克中医院
ai-li-chi-ke 艾莉齿科
ai-ling-qi-yi-yuan 爱龄奇医院
ai-mei-sheng-gu-ke-yi-yuan 爱美生骨科医院
ai-min-jian-fei-yi-yuan 爱民减肥医院
ai-min-men-zhen 爱民门诊
ai-min-men-zhen-bu 爱民门诊部
ai-min-yi-yuan 爱民医院
ai-min-zhen-suo 爱民诊所
ai-si-te-yi-liao-mei-rong-yi-yuan 爱思特医疗美容医院
ai-xin-chong-wu-yi-yuan 爱心宠物医院
ai-xin-kou-qiang 爱心口腔
ai-xin-kou-qiang-men-zhen 爱馨口腔门诊
ai-xin-men-zhen 爱心门诊
ai-xin-men-zhen-bu 爱心门诊部
ai-xin-nv-zi-yi-yuan 爱心女子医院
ai-xin-yi-yuan 爱心医院
ai-xin-zhen-suo 爱心诊所
ai-xin-zheng-xing-yi-yuan 爱心整形医院
ai-xin-zhong-xi-yi-jie-he-men-zhen-bu 爱心中西医结合门诊部
ai-ya-kou-qiang 爱雅口腔
ai-ya-shi-kou-qiang-zhen-suo 爱雅仕口腔诊所
ai-yi-mei-yi-yuan 爱伊美医院
ai-yin-yi-yuan 爱因医院
ai-ying-wei-sheng-yuan 爱婴卫生院
ai-ying-yi-yuan 爱婴医院
ai-zhi-jia 爱之家
an-da-shi-yi-yuan 安达市医院
an-da-shi-zhong-yi-yuan 安达市中医院
an-da-yi-yuan 安达医院
an-de-yi-yuan 安德医院
an-ding-men-zhong-yi-yuan 安定门中医院
an-ding-yi-yuan 安定医院
an-feng-yi-yuan 安丰医院
an-feng-zhen-wei-sheng-yuan 安丰镇卫生院
an-fu-xian-fu-you-bao-jian-yuan 安福县妇幼保健院
an-fu-xian-zhong-yi-yuan 安福县中医院
an-gang-chang-dian-yi-yuan 鞍钢长甸医院
an-gang-li-shan-yi-yuan 鞍钢立山医院
an-gang-tie-xi-yi-yuan 鞍钢铁西医院
an-gang-zong-yi-yuan 鞍钢总医院
an-guo-shi-yi-yuan 安国市医院
an-guo-shi-zhong-yi-yuan 安国市中医院
an-guo-xie-he-yi-yuan 安国协和医院
an-guo-yi-yuan 安国医院
an-hai-yang-guang-yi-yuan 安海阳光医院
an-hai-yi-yuan 安海医院
an-hua-xian-fu-you-bao-jian-yuan 安化县妇幼保健院
an-hua-xian-ren-min-yi-yuan 安化县人民医院
an-hua-yi-yuan 安化医院
an-hua-yi-yuan 安华医院
an-hui-da-xue-yi-yuan 安徽大学医院
an-hui-kang-fu-yi-yuan 安徽康复医院
an-hui-li-gong-da-xue-fu-shu-yi-yuan 安徽理工大学附属医院
an-hui-sheng-fei-ke-yi-yuan 安徽省肺科医院
an-hui-sheng-fu-you-bao-jian-suo 安徽省妇幼保健所
an-hui-sheng-fu-you-bao-jian-yuan 安徽省妇幼保健院
an-hui-sheng-hong-shi-zi-chao-yang-yi-yuan 安徽省红十字朝阳医院
an-hui-sheng-hong-shi-zi-hui-yi-yuan 安徽省红十字会医院
an-hui-sheng-hong-shi-zi-tong-ling-yi-yuan 安徽省红十字铜陵医院
an-hui-sheng-ji-hua-sheng-yu-ke-yan-suo-yi-yuan 安徽省计划生育科研所医院
an-hui-sheng-ji-min-zhong-liu-yi-yuan 安徽省济民肿瘤医院
an-hui-sheng-jian-yi-yuan 安徽省建医院
an-hui-sheng-jiao-tong-zhi-gong-yi-yuan 安徽省交通职工医院
an-hui-sheng-jing-shen-wei-sheng-zhong-xin 安徽省精神卫生中心
an-hui-sheng-kou-qiang-yi-yuan 安徽省口腔医院
an-hui-sheng-li-er-tong-yi-yuan 安徽省立儿童医院
an-hui-sheng-li-yi-yuan 安徽省立医院
an-hui-sheng-li-yi-yuan-fen-yuan 安徽省立医院分院
an-hui-sheng-li-yi-yuan-zhi-ming-zhuan-jia-men-zhen 安徽省立医院知名专家门诊
an-hui-sheng-li-you-yi-yi-yuan 安徽省立友谊医院
an-hui-sheng-pi-fu-bing-fang-zhi-suo 安徽省皮肤病防治所
an-hui-sheng-ren-da-ji-guan-yi-yuan 安徽省人大机关医院
an-hui-sheng-zhong-liu-yi-yuan 安徽省肿瘤医院
an-hui-sheng-zhong-yi-yuan 安徽省中医院
an-hui-yi-ke-da-xue-di-er-fu-shu-yi-yuan 安徽医科大学第二附属医院
an-hui-yi-ke-da-xue-di-yi-fu-shu-yi-yuan 安徽医科大学第一附属医院
an-hui-yi-ke-da-xue-xiao-yi-yuan 安徽医科大学校医院
an-hui-yi-zhuan-fu-yuan 安徽医专附院
an-hui-zhong-liu-kang-fu-yi-yuan 安徽肿瘤康复医院
an-hui-zhong-yi-xue-yuan-di-er-fu-shu-yi-yuan 安徽中医学院第二附属医院
an-hui-zhong-yi-xue-yuan-di-yi-fu-shu-yi-yuan 安徽中医学院第一附属医院
an-hui-zhong-yi-xue-yuan-fu-shu-zhen-jiu-yi-yuan 安徽中医学院附属针灸医院
an-hui-zhong-yi-xue-yuan-men-zhen-bu 安徽中医学院门诊部
an-ji-xian-di-san-ren-min-yi-yuan 安吉县第三人民医院
an-ji-xian-ren-min-yi-yuan 安吉县人民医院
an-ji-yi-yuan 安吉医院
an-ji-zhen-suo 安吉诊所
an-ji-zhong-yi-yuan 安吉中医院
an-jia-yi-yuan 安佳医院
an-jia-zhuang-liang-shi-gu-ke-yi-yuan 安驾庄梁氏骨科医院
an-jian 安健
an-jian-kou-qiang-men-zhen-bu 安健口腔门诊部
an-jie-kou-qiang-zhen-suo 安洁口腔诊所
