;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
a-ba-ga-qi-xing-zheng-gan-bu-xue-xiao 阿巴嘎旗行政干部学校
a-ba-shi-fan-gao-deng-zhuan-ke-xue-xiao 阿坝师范高等专科学校
a-ba-xian-wei-dang-xiao 阿坝县委党校
a-he-qi-xian-wei-dang-xiao 阿合奇县委党校
a-ke-su-di-qu-xing-zheng-xue-yuan 阿克苏地区行政学院
a-ke-su-di-wei-dang-xiao 阿克苏地委党校
a-ke-su-shi-dian-da 阿克苏市电大
a-ke-su-shi-fan-xue-xiao 阿克苏师范学校
a-ke-su-shi-wei-dang-xiao 阿克苏市委党校
a-ke-su-zhi-ye-ji-shu-xue-yuan 阿克苏职业技术学院
a-ke-tao-xian-wei-dang-xiao 阿克陶县委党校
a-la-shan-guang-bo-dian-shi-da-xue 阿拉善广播电视大学
a-la-shan-meng-wei-dang-xiao 阿拉善盟委党校
a-la-shan-meng-xing-zheng-xue-xiao 阿拉善盟行政学校
a-la-shan-you-qi-wei-dang-xiao 阿拉善右旗委党校
a-le-tai-di-qu-shi-fan-xue-xiao 阿勒泰地区师范学校
a-le-tai-di-qu-xing-zheng-xue-yuan 阿勒泰地区行政学院
a-le-tai-dian-da 阿勒泰电大
a-lu-ke-er-qin-qi-guan-li-gan-bu-xue-xiao 阿鲁科尔沁旗管理干部学校
a-lu-ke-er-qin-qi-wei-dang-xiao 阿鲁科尔沁旗委党校
a-rong-qi-wei-dang-xiao 阿荣旗委党校
a-rong-qi-xing-zheng-gan-bu-xue-xiao 阿荣旗行政干部学校
an-chang-zhen-wei-dang-xiao 安昌镇委党校
an-da-shi-wei-dang-xiao 安达市委党校
an-ding-qu-wei-dang-xiao 安定区委党校
an-gang-zhi-gong-da-xue 鞍钢职工大学
an-hui-cai-jing-da-xue 安徽财经大学
an-hui-cai-mao-zhi-ye-xue-yuan 安徽财贸职业学院
an-hui-cheng-shi-guan-li-zhi-ye-xue-yuan 安徽城市管理职业学院
an-hui-da-xue 安徽大学
an-hui-dian-qi-gong-cheng-zhi-ye-ji-shu-xue-yuan 安徽电气工程职业技术学院
an-hui-dian-zi-xin-xi-zhi-ye-ji-shu-xue-yuan 安徽电子信息职业技术学院
an-hui-fang-zhi-gong-ye-da-xue 安徽纺织工业大学
an-hui-gong-an-zhi-ye-xue-yuan 安徽公安职业学院
an-hui-gong-cheng-ji-shu-xue-yuan 安徽工程技术学院
an-hui-gong-cheng-ke-ji-xue-yuan 安徽工程科技学院
an-hui-gong-mao-xue-yuan 安徽工贸学院
an-hui-gong-mao-zhi-ye-ji-shu-xue-yuan 安徽工贸职业技术学院
an-hui-gong-shang-guan-li-xue-yuan 安徽工商管理学院
an-hui-gong-shang-zhi-ye-xue-yuan 安徽工商职业学院
an-hui-gong-ye-da-xue 安徽工业大学
an-hui-gong-ye-jing-ji-zhi-ye-ji-shu-xue-yuan 安徽工业经济职业技术学院
an-hui-guang-bo-dian-shi-da-xue 安徽广播电视大学
an-hui-guang-bo-ying-shi-zhi-ye-ji-shu-xue-yuan 安徽广播影视职业技术学院
an-hui-guo-hua-jiao-yu-zhuan-xiu-xue-yuan 安徽国华教育专修学院
an-hui-ji-dian-zhi-ye-ji-shu-xue-yuan 安徽机电职业技术学院
an-hui-jian-gong-ji-shi-xue-yuan 安徽建工技师学院
an-hui-jian-zhu-gong-ye-xue-yuan 安徽建筑工业学院
an-hui-jiao-tong-zhi-ye-ji-shu-xue-yuan 安徽交通职业技术学院
an-hui-jiao-yu-xue-yuan 安徽教育学院
an-hui-jing-guan-zhi-ye-xue-yuan 安徽警官职业学院
an-hui-jing-ji-guan-li-gan-bu-xue-yuan 安徽经济管理干部学院
an-hui-jing-ji-guan-li-xue-yuan 安徽经济管理学院
an-hui-lao-dong-da-xue 安徽劳动大学
an-hui-li-gong-da-xue 安徽理工大学
an-hui-lin-ye-zhi-ye-ji-shu-xue-yuan 安徽林业职业技术学院
an-hui-lv-hai-shang-wu-xue-yuan 安徽绿海商务学院
an-hui-ming-xing-ke-ji-zhi-ye-xue-yuan 安徽明星科技职业学院
an-hui-nong-ye-da-xue 安徽农业大学
an-hui-qing-gong-ye-ji-shi-xue-yuan 安徽轻工业技师学院
an-hui-shang-mao-gong-cheng-ji-shi-xue-yuan 安徽商贸工程技师学院
an-hui-she-hui-zhu-yi-xue-yuan 安徽社会主义学院
an-hui-she-wai-jing-ji-zhi-ye-xue-yuan 安徽涉外经济职业学院
an-hui-shen-ji-zhi-ye-xue-yuan 安徽审计职业学院
an-hui-sheng-she-hui-zhu-yi-xue-yuan 安徽省社会主义学院
an-hui-sheng-su-zhou-gong-ye-xue-xiao 安徽省宿州工业学校
an-hui-sheng-wei-dang-xiao 安徽省委党校
an-hui-sheng-zhi-ji-guan-dang-xiao 安徽省直机关党校
an-hui-shi-fan-da-xue 安徽师范大学
an-hui-shui-li-shui-dian-zhi-ye-ji-shu-xue-yuan 安徽水利水电职业技术学院
an-hui-ti-yu-yun-dong-zhi-ye-ji-shu-xue-yuan 安徽体育运动职业技术学院
an-hui-wai-guo-yu-zhi-ye-ji-shu-xue-yuan 安徽外国语职业技术学院
an-hui-wen-da-xin-xi-ji-shu-zhi-ye-xue-yuan 安徽文达信息技术职业学院
an-hui-xin-hua-xue-yuan 安徽新华学院
an-hui-xing-zheng-xue-yuan 安徽行政学院
an-hui-ye-jin-ke-ji-zhi-ye-xue-yuan 安徽冶金科技职业学院
an-hui-yi-ke-da-xue 安徽医科大学
an-hui-yi-shu-zhi-ye-xue-yuan 安徽艺术职业学院
an-hui-yi-xue-gao-deng-zhuan-ke-xue-xiao 安徽医学高等专科学校
an-hui-you-dian-zhi-ye-ji-shu-xue-yuan 安徽邮电职业技术学院
an-hui-zhi-ye-ji-shu-xue-yuan 安徽职业技术学院
an-hui-zhong-ao-ke-ji-zhi-ye-xue-yuan 安徽中澳科技职业学院
an-hui-zhong-yi-xue-yuan 安徽中医学院
an-hui-zhong-yi-yao-gao-deng-zhuan-ke-xue-xiao 安徽中医药高等专科学校
an-kang-shi-wei-dang-xiao 安康市委党校
an-kang-shi-xing-zheng-xue-yuan 安康市行政学院
an-kang-xue-yuan 安康学院
an-kang-zhi-ye-ji-shu-xue-yuan 安康职业技术学院
an-lu-shi-xing-zheng-xue-xiao 安陆市行政学校
an-ning-shi-wei-dang-xiao 安宁市委党校
an-pei-hua-nv-zi-da-xue 安培华女子大学
an-qing-guang-bo-dian-shi-da-xue 安庆广播电视大学
an-qing-shi-fan-xue-yuan 安庆师范学院
an-qiu-shi-wei-dang-xiao 安丘市委党校
an-shan-guang-bo-dian-shi-da-xue 鞍山广播电视大学
an-shan-ke-ji-da-xue 鞍山科技大学
an-shan-shi-fan-xue-yuan 鞍山师范学院
an-shan-shi-qian-shan-qu-wei-dang-xiao 鞍山市千山区委党校
an-shan-shi-xing-zheng-xue-yuan 鞍山市行政学院
an-shan-shi-yuan-yu-ke-xue-xiao 鞍山师院预科学校
an-shun-dian-da 安顺电大
an-shun-shi-wei-dang-xiao 安顺市委党校
an-shun-shi-xing-zheng-xue-yuan 安顺市行政学院
an-shun-zhi-ye-ji-shu-xue-yuan 安顺职业技术学院
an-ting-shi-fan-xue-xiao 安亭师范学校
an-ting-zhen-dang-xiao 安亭镇党校
an-tu-xian-jiao-shi-jin-xiu-xue-xiao 安图县教师进修学校
an-yang-gong-xue-yuan 安阳工学院
an-yang-guang-bo-dian-shi-da-xue 安阳广播电视大学
an-yang-ji-shi-xue-yuan 安阳技师学院
an-yang-shi-fan-xue-yuan 安阳师范学院
an-yang-shi-wei-dang-xiao 安阳市委党校
an-yi-xian-wei-dang-xiao 安义县委党校
an-yue-xian-wei-dang-xiao 安岳县委党校
an-ze-xian-wei-dang-xiao 安泽县委党校
ao-da-li-ya-mo-er-ben-shang-xue-yuan 澳大利亚墨尔本商学院
ao-da-pei-xun-xue-yuan 澳大培训学院
ao-han-qi-wei-dang-xiao 敖汉旗委党校
ao-men-da-xue 澳门大学
ao-men-gao-deng-xiao-ji-xue-yuan 澳门高等校际学院
ao-men-ke-ji-da-xue 澳门科技大学
ao-men-li-gong-xue-yuan 澳门理工学院
ba-lin-you-qi-wei-dang-xiao 巴林右旗委党校
ba-lin-zuo-qi-wei-dang-xiao 巴林左旗委党校
ba-nan-dian-da 巴南电大
ba-nan-qu-wei-dang-xiao 巴南区委党校
ba-yan-nao-er-shi-dian-shi-da-xue 巴彦淖尔市电视大学
ba-yan-nao-er-shi-wei-dang-xiao 巴彦淖尔市委党校
ba-yan-xian-wei-dang-xiao 巴彦县委党校
ba-yan-xian-xing-zheng-gan-bu-xue-xiao 巴彦县行政干部学校
ba-yin-guo-leng-ji-shi-pei-xun-xue-yuan 巴音郭楞技师培训学院
ba-yin-xue-yuan 巴音学院
ba-zhong-shi-dang-xiao 巴中市党校
ba-zhou-dang-xiao 巴州党校
ba-zhou-guang-bo-dian-shi-da-xue 巴州广播电视大学
ba-zhou-she-hui-zhu-yi-xue-yuan 巴州社会主义学院
ba-zhou-shi-fan-xue-xiao 巴州师范学校
ba-zhou-shi-xing-zheng-xue-yuan 巴州市行政学院
ba-zhou-wei-sheng-xue-xiao 巴州卫生学校
ba-zhou-xing-zheng-xue-yuan 巴州行政学院
bai-cheng-guang-bo-dian-shi-da-xue 白城广播电视大学
bai-cheng-shi-fan-xue-yuan 白城师范学院
bai-cheng-shi-jiao-yu-xue-yuan 白城市教育学院
bai-cheng-shi-wei-dang-xiao 白城市委党校
bai-cheng-shi-xing-zheng-xue-yuan 白城市行政学院
bai-cheng-shi-yuan-jing-guan-xue-yuan 白城师院经管学院
bai-cheng-yi-xue-gao-deng-zhuan-ke-xue-xiao 白城医学高等专科学校
bai-li-ji-xue-yuan 柏立基学院
bai-qiu-en-yi-ke-da-xue 白求恩医科大学
bai-qiu-en-yi-xue-yuan 白求恩医学院
bai-quan-xian-wei-dang-xiao 拜泉县委党校
bai-se-shi-wei-dang-xiao 百色市委党校
bai-se-shi-xing-zheng-xue-yuan 百色市行政学院
bai-se-shi-you-jiang-qu-wei-dang-xiao 百色市右江区委党校
bai-se-xue-yuan 百色学院
bai-se-zhi-ye-xue-yuan 百色职业学院
bai-shan-shi-wei-dang-xiao 白山市委党校
bai-shi-te-ji-suan-ji-jiao-yu-xue-yuan 百事特计算机教育学院
bai-shui-xian-wei-dang-xiao 白水县委党校
bai-yin-shi-dian-da 白银市电大
bai-yin-shi-wei-dang-xiao 白银市委党校
bai-yin-zhi-ye-ji-shu-xue-yuan 白银职业技术学院
bai-yun-qu-lao-gan-bu-da-xue 白云区老干部大学
bai-yun-qu-xing-zheng-gan-bu-xue-xiao 白云区行政干部学校
bai-yun-zhi-ye-ji-shu-xue-yuan 白云职业技术学院
ban-song-yuan-lu-jie-dao-lao-nian-xue-xiao 半淞园路街道老年学校
