;; -*- coding: utf-8 -*--
bei-jing-he-bing 背景合并
bei-jing-qie-ge 背景切割
bi-bao 闭包
bian-kuang 边框
biao-qian-ming 标签名
bu-er 布尔
cao-zuo 操作
chao-chu-xian-shi-gun-dong-tiao 超出显示滚动条
chao-chu-yin-cang 超出隐藏
chong-zhi-wen-jian 重置文件
dan-ji 单击
dang-qian-dui-xiang 当前对象
feng-zhuang 封装
fu-dong 浮动
fu-ji-yuan-su 父级元素
fu-zhu-han-shu 辅助函数
han-shu 函数
hang-nei-yuan-su 行内元素
he-bing-bian-kuang 合并边框
he-mo-xing 盒模型
hou-dai 后代
huo-qu-biao-qian 获取标签
ji-cun 寄存
ji-shi-qi 计时器
ju-bu-bian-liang 局部变量
kai-fa 开发
kai-fa-gong-cheng-shi 开发工程师
kong-biao-qian 空标签
kua-hang-he-bing 跨行合并
kua-lie-he-bing 跨列合并
kuai-yuan-su 块元素
lei-ming 类名
lin-jie-zhi 临界值
liu-lan-qi-nei-he-qian-zhui 浏览器内核前缀
nei-bian-ju 内边距
qian-tao-gui-ze 嵌套规则
qie-huan 切换
qing-chu-fu-dong 清除浮动
qing-chu-ji-shi-qi 清除计时器
qu-zheng 取整
quan-ju-bian-liang 全局变量
qun-zu-xuan-ze-qi 群组选择器
sheng-ming 声明
shi-jian-dui-xiang 时间对象
shi-jian-kong-zhi 事件控制
shu-biao-yi-kai-shi 鼠标移开时
shu-biao-yi-shang-shi 鼠标移上时
shu-ju 数据
tan-chuang 弹窗
tiao-jian-yu-ju 条件语句
tiao-zheng 调整
tong-pei-fu 通配符
wai-bian-ju 外边距
wei-lei 伪类
wei-yuan-su 伪元素
wei-yuan-su-qing-chu-fu-dong 伪元素清除浮动
wen-dang 文档
xian-xing-jian-bian 线性渐变
xun-huan 循环
yang-shi 样式
yi-lai-han-shu 依赖函数
yin-shi 隐式
yin-shi-lei-xing-zhuan-huan 隐式类型转换
yin-ying 阴影
you-xian-ji 优先级
zhu-gong-neng-han-shu 主功能函数
zi-dai 子代
zi-ding-yi-shu-xing 自定义属性
zi-fu-chuan 字符串
zi-ji-yuan-su 子级元素
zuo-yong-yu 作用域
