;; -*- coding: utf-8 -*--
a-di-ma 阿蒂玛
a-er-bin-na 阿尔宾娜
a-er-fa-luo-mi-ou 阿尔法罗密欧
a-lei-luo 阿雷罗
a-luo-sha 阿罗莎
a-mei-la 阿美拉
a-si-dun-ma-ding 阿斯顿马丁
ai-di-er 爱迪尔
ai-ka-qi-che-wang 爱卡汽车网
ai-li-she 爱丽舍
an-kai-ke-che 安凯客车
an-quan-dai-gu-ding-jia-qiang-di-ban 安全带固定加强底板
an-quan-qi-nang 安全气囊
an-quan-tu-mian-jing 安全凸面镜
an-xing-heng-liang 鞍形横梁
ang-ke-lei 昂科雷
ao-bu-wei 奥布维
ao-de-sai 奥德赛
ao-di 奥迪
ao-long 傲龙
ao-long 翱龙
ao-si-mo-bi-er 奥斯莫比尔
ba-dao-ha-fu 霸道哈弗
ban-huang-ya-kuai 板簧压块
ban-huang-zhong-xin-ju-la-xian 板簧中心距拉线
ban-jin 钣金
ban-jin-qing-xi-xi-lie 钣金清洗系列
ban-shi-kai-guan 板式开关
ban-zhou 半轴
ban-zhou-chi-lun 半轴齿轮
ban-zhou-chi-lun-dian 半轴齿轮垫
ban-zhou-luo-si 半轴螺丝
ban-zhou-tao-guan 半轴套管
ban-zhou-tu-yuan 半轴突缘
bao-lai 宝来
bao-ma-xi 宝马系
bao-shi-jie 保时捷
bao-teng 宝腾
bao-xian-gang 保险杠
bao-xiu-bao-yang-guang-pan 保修保养光盘
bao-zhen-chuan-gan-qi 爆震传感器
bei-jing-ao-ling 北京奥铃
bei-jing-ben-chi 北京奔驰
bei-jing-dai-ke 北京戴克
bei-jing-ke-lai-si-le 北京克莱斯勒
bei-jing-san-ling 北京三菱
bei-jing-xian-dai 北京现代
bei-qi-kong-gu 北汽控股
bei-qi-zhi-zao 北汽制造
bei-tai 备胎
bei-tai-cao 备胎槽
bei-tai-jia-zong-cheng 备胎架总成
bei-tai-zhao 备胎罩
bei-tai-zhi-jia 备胎支架
bei-yong-lun-cang 备用轮舱
ben-chi-ji 奔驰级
ben-chi-ji-ao-hu 奔驰级傲虎
ben-chi-sai-jun 奔驰赛骏
ben-ge-er 本格尔
ben-tian 本田
ben-tian-kai-suo-gong-ju 本田开锁工具
