;; -*- coding: utf-8 -*--
an-niu 按钮
bang-ding 绑定
bei-jing 背景
ceng-ci-jie-gou 层次结构
chao-lian-jie 超链接
chao-wen-ben-biao-ji-yu-yan 超文本标记语言
chao-wen-ben-chuan-song-xie-yi 超文本传送协议
chou-xiang-de 抽象的
chou-xiang-ti 抽象体
chu-li-han-shu 处理函数
chuan-shu-kong-zhi-xie-yi-wang-ji-xie-yi 传输控制协议网际协议
cun-qu 存取
dai-kuan 带宽
dang-qie-jin-dang 当且仅当
deng-hao-cao-zuo-fu 等号操作符
di-zhi 地址
di-zhi-jie-xi-xie-yi 地址解析协议
diao-yong 调用
diao-yong-cao-zuo-fu 调用操作符
dong-tai-bang-ding 动态绑定
duan-dian 断点
duan-yan 断言
duo-xian-cheng-an-quan 多线程安全
er-cha-shu 二叉树
er-fen-cha-zhao 二分查找
er-yuan-cao-zuo-fu 二元操作符
fan-hui-lei-xing 返回类型
fang-han-shi 仿函式
fang-wen-ji-bie 访问级别
fang-wen-kong-zhi-lie-biao 访问控制列表
fang-wen-ling-pai 访问令牌
fen-bian-lv 分辨率
fen-bu-shi-ji-suan 分布式计算
fen-pei-qi 分配器
fu-xuan-an-niu 复选按钮
fu-zhi 赋值
fu-zhi-cao-zuo-fu 赋值操作符
gao-su-huan-cun 高速缓存
gao-xiao 高效
guan-li-yuan-zhang-hao 管理员帐号
guan-lian-shi-rong-qi 关联式容器
guang-xian-fen-bu-shi-shu-ju-jie-kou 光纤分布式数据接口
ha-xi-biao 哈希表
han-shu-mu-ban 函数模板
hou-xuan-han-shu 候选函数
hu-lian-wang-fen-zu-xie-yi 互连网分组协议
hui-bian-yu-yan 汇编语言
hui-tiao 回调
ji-cheng-kai-fa-huan-jing 集成开发环境
ji-huo 激活
ji-lei 基类
ji-suan-ji 计算机
ji-zhang-ce-lue 记帐策略
jian-tou-cao-zuo-fu 箭头操作符
jian-zhuang-xing 健壮性
jie-san-kao-cao-zuo-fu 解叁考操作符
jie-xi-guo-cheng 解析过程
jin-cheng-jian-tong-xin 进程间通信
ke-po-mi-de 可破密的
lei-ceng-ci-ti-xi 类层次体系
lei-ji-cheng-lie-biao 类继承列表
lei-mu-ban-bu-fen-te-hua 类模板部分特化
lei-mu-ban-te-hua 类模板特化
lin-shi-dui-xiang 临时对象
mei-ju-cheng-yuan 枚举成员
mu-ban-san-shu-tui-dao 模板叁数推导
nei-zhi 内置
pi-chu-li 批处理
ping-mu-jie-tu 屏幕截图
qu-di-zhi-cao-zuo-fu 取地址操作符
quan-ju-fan-wei-jie-xi-cao-zuo-fu 全局范围解析操作符
que-sheng 缺省
ren-gong-zhi-neng 人工智能
ren-wu-qie-huan 任务切换
she-ji-mo-shi 设计模式
shen-ji-ce-lue 审记策略
shi-jian-qu-dong-de 事件驱动的
shi-pei-qi 适配器
shi-zhi-san-shu 实质叁数
shou-yi 收益
shu-ju-bao-wen 数据报文
shu-ju-cheng-yuan 数据成员
shu-ju-jie-gou 数据结构
shu-ju-ku 数据库
shu-ju-lian-lu-kong-zhi 数据链路控制
shu-xing 属性
shu-zu 数组
shuang-san-han-shu 双叁函数
si-suo 死锁
suan-fa 算法
sui-pian-wen-jian-chuan-song-xie-yi 碎片文件传送协议
te-luo-yi-mu-ma 特洛伊木马
ti-xi-jie-gou 体系结构
tiao-shi 调试
tong-yi-zi-yuan-ding-wei-qi 统一资源定位器
tu-xing-jie-mian 图形界面
wang-ji-kong-zhi-bao-wen-xie-yi 网际控制报文协议
wang-ji-xie-yi 网际协议
wang-luo-fu-wu-ti-gong-zhe 网络服务提供者
wei-yu 位域
wei-zhi-kong-jian 位址空间
wen-jian-chuan-song-xie-yi 文件传送协议
wu-lei-di-zhi-fen-pei 无类地址分配
xi-gou-han-shu 析构函数
xin-xi-fu-wu-qi 信息服务器
xing-shi-san-shu 形式叁数
xu-ni-ji 虚拟机
ye-wu 业务
yi-bu-chuan-di-mo-shi 异步传递模式
yi-chang-chu-li 异常处理
yi-yuan-cao-zuo-fu 一元操作符
yin-dao-wang-guan-xie-yi 引导网关协议
yin-pin 音频
ying-yong-cheng-xu 应用程序
ying-yong-cheng-xu-bian-cheng-jie-kou 应用程序编程接口
ying-yong-cheng-xu-kuang-jia 应用程序框架
yong-hu-jie-mian 用户界面
yong-hu-shu-ju-bao-xie-yi 用户数据报协议
yu-ding-yi 预定义
yu-ming-kong-zhi-qi 域名控制器
yu-yan 语言
yuan-zi-de 原子的
yun-xing-qi 运行期
zhang-hao-feng-suo 帐号封锁
zhi-jie-shang-ceng-ji-lei 直接上层基类
zhi-jie-xia-ceng-pai-sheng-lei 直接下层派生类
zhong-duan-qing-qiu 中断请求
zi-bian-liang 自变量
zi-dian-shi-gong-ji 字典式攻击
zi-shi-ying-su-lv-deng-ji-tiao-zheng 自适应速率等级调整
zong-xian 总线
zui-di-ceng-de-pai-sheng-lei 最底层的派生类
zui-jia-ke-xing-han-shi 最佳可行函式
