;; -*- coding: utf-8 -*--
a-bi-guo-min-yin-hang 阿比国民银行
a-bi-yin-hang 阿比银行
a-la-bo-huo-bi-ji-jin-zu-zhi 阿拉伯货币基金组织
a-la-bo-jing-ji-he-she-hui-fa-zhan-ji-jin 阿拉伯经济和社会发展基金
a-mu-si-te-dan-lu-te-dan-yin-hang 阿姆斯特丹鹿特丹银行
a-si-pi-lin-shu-liang-li-lun 阿司匹林数量理论
ai-er-lan-fen-chai 爱尔兰分拆
ai-jian-zheng-quan 爱建证券
ai-lue-te-bo-lang-li-lun 艾略特波浪理论
ai-mei-li-ke-si-ji-jin 艾美利科斯基金
ai-pang-zi-ji-jin 矮胖子基金
an-da-xin 安达信
an-hui-xin-xing 安徽新兴
an-jie 按揭
an-jie-cai-chan 按揭财产
an-jie-dai-kuan 按揭贷款
an-jie-dai-kuan-an-pai 按揭贷款安排
an-jie-dai-kuan-he-tong 按揭贷款合同
an-jie-dai-kuan-qi-ju 按揭贷款契据
an-jie-di-ya 按揭抵押
an-jie-di-ya-zhai-quan 按揭抵押债券
an-jie-jie-kuan 按揭借款
an-jie-li-xi 按揭利息
an-jie-ren 按揭人
an-jie-tiao-jian 按揭条件
an-jie-zheng-quan-hua 按揭证券化
an-lian 安联
an-lian-da-zhong-bao-xian 安联大众保险
an-lian-ji-tuan 安联集团
an-quan-bian-ji 安全边际
an-quan-du 安全度
an-quan-fu-du 安全幅度
an-quan-guan-li 安全管理
an-quan-hui-shou 安全回收
an-quan-ji-bie 安全级别
an-quan-tou-zi-yuan-ze 安全投资原则
an-quan-xing 安全性
an-quan-yao-shi 安全钥匙
an-quan-yun-zuo 安全运作
an-quan-ze-ren 安全责任
an-tian-xin-tuo 安田信托
an-yong 安永
an-yong-kuai-ji-shi-shi-wu-suo 安永会计师事务所
ao-di-li-zhong-yang-he-zuo-yin-hang 奥地利中央合作银行
ao-xin-yin-hang 澳新银行
ao-yuan 澳元
ba-bi-li-cai-wang 巴比理财网
ba-ke-lai-yin-hang 巴克莱银行
ba-li-ba-yin-hang 巴黎巴银行
ba-li-gu-piao-jiao-yi-suo 巴黎股票交易所
ba-li-guo-min-yin-hang 巴黎国民银行
ba-li-he-lan-jin-rong-gong-si 巴黎荷兰金融公司
ba-li-jin-rong-shi-chang 巴黎金融市场
ba-li-zheng-quan-jiao-yi-suo 巴黎证券交易所
ba-lun-xin-xin-zhi-shu 巴伦信心指数
ba-sai-er-xie-ding 巴塞尔协定
ba-wang-tiao-kuan 霸王条款
ba-xi-yin-hang 巴西银行
bai-cai-ka 白菜卡
bai-jin-ban 白金版
bai-jin-ka 白金卡
bai-ling-li-cai 百灵理财
bai-mu-da-quan-zheng 百慕大权证
bai-piao 拜票
bai-si-te-ping-ji 百斯特评级
ban-cang 半仓
ban-cang-cao-zuo 半仓操作
ban-dui-chong-qi-quan 半对冲期权
ban-nian-bao 半年报
ban-nian-qi 半年期
ban-shui-da-ting 办税大厅
ban-shui-ting 办税厅
ban-shui-yuan 办税员
ban-zhi-gu-piao 半值股票
bao-cha 报查
bao-dan 保单
bao-dan-chi-you-ren 保单持有人
bao-di-shou-yi-lv 保底收益率
bao-die 暴跌
bao-die-shi-bai 暴跌失败
bao-e 保额
bao-fei 保费
bao-fei 报废
bao-fu 暴富
bao-fu-dai-li 保付代理
bao-fu-dai-li-ren 保付代理人
bao-fu-xiao-ying 暴富效应
bao-fu-xing-fan-tan 报复性反弹
bao-fu-xing-shang-zhang 报复性上涨
bao-fu-zhi-piao 保付支票
bao-gang-gu-fen 宝钢股份
bao-gao-jie-xian 报告界限
bao-gao-qi 报告期
bao-gao-qi-mo 报告期末
bao-gao-qing-qiu 报告请求
bao-gao-zai-xian 报告在线
bao-guan-ren 保管人
bao-han 保函
bao-han-ye-wu 保函业务
bao-he-dian 饱和点
bao-hu-jia 保护价
bao-jia 报价
bao-jia-dian-bao 报价电报
bao-jia-li-ya-ren-min-yin-hang 保加利亚人民银行
bao-jia-qing-dan 报价清单
bao-jian-hui 保监会
bao-jian-zhi 保荐制
bao-kang-ling-huo-pei-zhi 宝康灵活配置
bao-kang-xiao-fei-pin 宝康消费品
bao-kuo-suo-shu 包括所属
bao-li 保理
bao-li 暴利
bao-li-chan-pin 保理产品
bao-li-fei-lv 保理费率
bao-li-fu-wu 保理服务
bao-li-shang 保理商
bao-li-xie-yi 保理协议
bao-li-ye-wu 保理业务
bao-li-ye-wu-liang 保理业务量
bao-liu-li-run-zai-tou-zi 保留利润再投资
bao-liu-tui-xiu-jin-quan-li 保留退休金权利
bao-liu-ying-yu 保留盈余
bao-liu-zhui-suo-quan 保留追索权
bao-lu-qi-quan 暴露期权
bao-lu-tou-cun 暴露头寸
bao-luo-xian 包络线
bao-rui-tong-dian-dang-hang 宝瑞通典当行
bao-sheng 暴升
bao-sheng-yin-hang 宝生银行
bao-shou-xing-tou-zi-zu-he 保守型投资组合
bao-shui 保税
bao-shui 报税
bao-song-xiang-guan-cai-liao 报送相关材料
bao-song-yi-xia-cai-liao 报送以下材料
bao-wang 保网
bao-xian-dan-dai-kuan 保险单贷款
bao-xian-fu-wu 保险服务
bao-xian-gong-si 保险公司
bao-xian-hang-ye 保险行业
bao-xian-jing-ji 保险经纪
bao-xian-shi-chang 保险市场
bao-xian-suo-pei 保险索赔
bao-xian-ye 保险业
bao-xian-ye-wu 保险业务
bao-xian-zhi-shi 保险知识
bao-xian-zi-jin 保险资金
bao-xiao 包销
bao-xiao-ze-ren 包销责任
bao-ying-fan-yan-hai 宝盈泛沿海
bao-ying-hong-li-shou-yi 宝盈鸿利收益
bao-ying-ji-jin 宝盈基金
bao-ying-ji-jin-guan-li-you-xian-gong-si 宝盈基金管理有限公司
bao-yu 报于
bao-zha-xing-zeng-zhang 爆炸性增长
bao-zhang 暴涨
bao-zhang-xian-xiang 暴涨现象
bao-zheng-jin 保证金
bao-zheng-jin-dai-kuan 保证金贷款
bao-zheng-jin-e-du 保证金额度
bao-zheng-jin-gou-mai 保证金购买
bao-zheng-jin-jiao-yi 保证金交易
bao-zheng-jin-rong-zi 保证金融资
bao-zheng-jin-tai-zhang 保证金台账
bao-zheng-jin-zhang-hu 保证金账户
bao-zhi-gong-neng 保值功能
bao-zhi-gu-piao-lan 报纸股票栏
bao-zhi-zeng-zhi 保值增值
bei-bu-zi-chan 北部资产
bei-dao 被盗
bei-di 备抵
bei-dui-quan-zheng 备兑权证
bei-er-si-deng 贝尔斯登
bei-fang-jin-rong 北方金融
bei-fang-jing-ji-shi-bao 北方经济时报
bei-fang-qi-huo 北方期货
bei-fang-wan-sheng 北方万盛
bei-fu-jin 备付金
bei-fu-jin-cun-kuan 备付金存款
bei-hai-gang 北海港
bei-hai-yin-hang 北海银行
bei-jing-fen-hang 北京分行
bei-jing-guo-tou 北京国投
bei-jing-hua-shang-heng-tong 北京华商亨通
bei-jing-jin-bi-wang 北京金币网
bei-jing-nong-cun-shang-ye-yin-hang 北京农村商业银行
bei-jing-shou-fang 北京首放
bei-jing-shou-zheng 北京首证
bei-jing-xin-lan-de 北京新兰德
bei-jing-yin-hang 北京银行
bei-ju 被拒
bei-ou-yin-hang 北欧银行
bei-shou-shi-chang-guan-zhu 备受市场关注
bei-shu-zhai-quan 背书债券
bei-shu-zhuan-rang 背书转让
bei-ta 贝塔
bei-tao 被套
bei-wang-lu 备忘录
bei-ya-qi-huo 北亚期货
bei-yong-fei 备用费
bei-yong-xin-yong-zheng 备用信用证
ben-ci-fa-xing 本次发行
ben-di-gu-piao 本地股票
ben-ji-gou 本机构
ben-ji-jin 本基金
ben-jin 本金
ben-jin-an-quan 本金安全
ben-jin-bao-hu 本金保护
ben-jin-shou-yi-fen-pei 本金收益分配
ben-nian-du 本年度
ben-piao 本票
ben-qi-chen-mo-zhi 本期沉没值
ben-qi-shou-yi-lv 本期收益率
ben-ren-wei-tuo-ren 本人委托人
ben-ren-you-xiao-zheng-jian 本人有效证件
ben-tong-zhi 本通知
ben-tong-zhi-dan 本通知单
ben-tu-shi-chang 本土市场
ben-tu-tou-hang 本土投行
ben-tu-you-shi 本土优势
ben-tu-zui-jia 本土最佳
ben-xi 本息
ben-yi-jian-zhong 本意见中
ben-zhou-tui-jian 本周推荐
beng-pan 崩盘
bi-de-lin-qi 彼得林奇
bi-duan 弊端
bi-er-la-cai-tuan 比尔拉财团
bi-feng-gang 避风港
bi-jia 比价
bi-jiao-hui-bao-lv 比较回报率
bi-li-fen-pei-fa 比例分配法
bi-li-shi-fu-tong-yin-hang 比利时富通银行
bi-li-shi-lian-he-yin-hang 比利时联合银行
bi-mian-chu-xian 避免出现
bi-mian-zhe-lei 避免这类
bi-ran-lian-xi 必然联系
bi-shang-nian-tong-qi-zeng-zhang-lv 比上年同期增长率
bi-shui 避税
bi-shui-xiao-shou 避税销售
bi-su 毕苏
bi-suo 比索
bi-ta-si 比塔斯
bi-xian-xiao-guo 避险效果
bi-xu-gou-mai 必须购买
bi-xu-jia-kuai 必须加快
bi-xu-yao-fu-chu 必须要付出
bi-yao-hui-bao-lv 必要回报率
bi-zhi 币值
bi-zhong 币种
bian-bu-shi-jie-ge-di 遍布世界各地
bian-dong-fan-wei 变动范围
bian-dong-fen-e 变动份额
bian-dong-hou-zong-fen-e 变动后总份额
bian-dong-ji-lu 变动记录
bian-dong-qian-zong-fen-e 变动前总份额
bian-dong-ri-qi 变动日期
bian-dong-yuan-yin 变动原因
bian-geng-zhu-ce 变更注册
bian-ji-fen-xi 边际分析
bian-jie-ping-zheng-jiao-ge-fu-wu 便捷凭证交割服务
bian-xian 变现
bian-yu-chong-zu 便于重组
bian-zhi-huo-bi 贬值货币
biao-jin 标金
biao-pu-zhi-shu 标普指数
biao-shi-gu-piao 表示股票
biao-shou 表首
biao-shu 标书
biao-tou 表头
